"name","category","evas","longitude","latitude"
"Finnentrop",3,"08000102",7.964563,51.173048
"Flensburg",3,"08000103",9.436526,54.774039
"Flughafen BER",2,"08011201,08089201",13.5119498,52.3648038
"Frankenthal Hbf",3,"08000332",8.349702,49.535567
"Frankfurt (Main) Flughafen Regionalbahnhof",3,"08070004",8.571251,50.051219
"Frankfurt (Main) Hauptwache",3,"08006692",8.678947,50.113926
"Frankfurt (Main) Hbf",1,"08000105,08098105",8.66282825,50.1066819
"Frankfurt (Main) Konstablerwache",3,"08004429",8.687098,50.114623
"Frankfurt (Main) Niederrad",3,"08002050",8.63701344,50.0809969
"Frankfurt (Main) Ostendstraße",3,"08002058",8.696987,50.112562
"Frankfurt (Main) Stadion",3,"08002040",8.633247,50.068228
"Frankfurt (Main) Süd",2,"08002041",8.686457,50.099365
"Frankfurt (Main) Taunusanlage",3,"08006691",8.668864,50.113565
"Frankfurt (Main) West",3,"08002042",8.63939524,50.1192986
"Frankfurt (Oder)",2,"08010113",14.546496,52.336416
"Frankfurt am Main Flughafen Fernbahnhof",3,"08070003",8.570185,50.053167
"Frankfurt-Höchst",3,"08000106",8.54237,50.102634
"Frankfurt-Rödelheim",3,"08002052",8.607026,50.124615
"Freiburg (Breisgau) Hbf",2,"08000107",7.84117,47.997697
"Freilassing",3,"08000108",12.977193,47.836916
"Freising",3,"08002078",11.744539,48.395195
"Friedberg (Hess)",3,"08000111",8.762056,50.332606
"Friedrichshafen Stadt",3,"08000112",9.4739,47.653224
"Fröndenberg",3,"08000113",7.762198,51.471254
"Fulda",2,"08000115",9.68416929,50.5549058
"Fürth (Bay) Hbf",2,"08000114",10.989988,49.469707
"Garmisch-Partenkirchen",3,"08002187",11.097013,47.491452
"Gelsenkirchen Hbf",2,"08000118",7.102455,51.504903
"Geltendorf",3,"08000119",11.0374552,48.1059912
"Gera Hbf",3,"08010125",12.077092,50.883421
"Germering-Unterpfaffenhofen",3,"08006006",11.364023,48.12887
"Gießen",2,"08000124",8.661462,50.579059
"Glauchau (Sachs)",3,"08010129",12.548646,50.828524
"Goslar",3,"08000130",10.421436,51.911573
"Gotha",3,"08010136",10.712568,50.93907
"Graben-Neudorf",3,"08000131",8.49063,49.161797
"Grafing Bahnhof",3,"08002347",11.940423,48.043226
"Greven",3,"08002369",7.5993526,52.0899457
"Groß Gerau-Dornberg",3,"08002386",8.494709,49.912279
"Göppingen",3,"08000127",9.651969,48.700027
"Görlitz",3,"08010131",14.97908,51.146767
"Göttingen",2,"08000128",9.926072,51.536815
"Günzburg",3,"08000139",10.2792621,48.4605626
"Güstrow",3,"08010153",12.172836,53.800597
"Gütersloh Hbf",3,"08002461",8.385071,51.906941
"Hagen Hbf",2,"08000142",7.460249,51.362747
"Halberstadt Hbf",3,"08010157",11.073452,51.899309
"Halle (Saale) Hbf",2,"08010159",11.987085,51.477509
"Hamburg Dammtor",2,"08002548",9.989566,53.560751
"Hamburg Hbf",1,"08002549,08098549",10.006909,53.552736
"Hamburg-Altona",1,"08002553,08098553",9.935175,53.552695
"Hamburg-Bergedorf",3,"08002554",10.206171,53.489832
"Hamburg-Harburg",2,"08000147,08098147",9.991701,53.455908
"Hamburg-Neugraben",3,"08002557",9.852048,53.474143
"Hameln",3,"08000148",9.375906,52.10185
"Hamm (Westf) Hbf",2,"08000149",7.807821,51.678078
"Hanau Hbf",2,"08000150",8.929,50.120953
"Hannover Hbf",1,"08000152",9.741021,52.376761
"Hannover-Messe / Laatzen",3,"08003487",9.792863,52.316899
"Harburg Rathaus",3,"08004267",9.980463,53.460694
"Hasselbrook",3,"08002628",10.056129,53.564711
"Heide (Holst)",3,"08000155",9.101029,54.193563
"Heidelberg Hbf",2,"08000156",8.675442,49.403567
"Heilbronn Hbf",3,"08000157",9.207715,49.143306
"Hennef (Sieg)",3,"08002753",7.284592,50.773332
"Hennigsdorf (b Berlin)",3,"08013483,08089207",13.2053357,52.6382034
"Herford",2,"08000162",8.663643,52.119609
"Herne",3,"08000164",7.21783,51.543652
"Herne-Wanne-Eickel Hbf",3,"08000192",7.165783,51.531256
"Herrenberg",3,"08002785",8.862662,48.593991
"Herzogenrath",3,"08002806",6.094486,50.870916
"Hildesheim Hbf",2,"08000169",9.953497,52.160626
"Hof Hbf",3,"08002924",11.923067,50.307743
"Hofheim (Taunus)",3,"08002935",8.443842,50.084471
"Holzkirchen",3,"08002980",11.697234,47.884384
"Homburg (Saar) Hbf",3,"08000176",7.337035,49.328082
"Horb",3,"08000177",8.688982,48.441471
"Horrem",3,"08000178",6.713497,50.916249
"Husum",3,"08000181",9.05595303,54.4720826
"Ingolstadt Hbf",2,"08000183",11.437337,48.744541
"Ingolstadt Nord",3,"08003076",11.4322495,48.7736902
"Itzehoe",3,"08003102",9.510287,53.923873
"Jena Paradies",3,"08011956",11.587461,50.924856
"Jena West",3,"08011957",11.577848,50.923286
"Jena-Göschwitz",3,"08010133",11.593537,50.883942
"Kaiserslautern Hbf",2,"08000189",7.76862681,49.4358593
"Karlsruhe Hbf",1,"08000191",8.402181,48.993515
"Karlsruhe-Durlach",3,"08003184",8.462822,49.002328
"Kassel Hbf",2,"08000193",9.489501,51.31826
"Kassel-Wilhelmshöhe",2,"08003200",9.44711566,51.3125585
"Kempten (Allgäu) Hbf",3,"08000197",10.31761,47.711745
"Kiel Hbf",2,"08000199",10.131976,54.314985
"Koblenz Hbf",2,"08000206",7.588345,50.350929
"Konstanz",3,"08003400",9.177312,47.658754
"Kornwestheim Pbf",3,"08003411",9.179964,48.862219
"Krefeld Hbf",3,"08000211",6.569885,51.325717
"Köln Hbf",1,"08000207",6.958729,50.94303
"Köln Messe/Deutz",1,"08003368,08073368,08083368",6.975001,50.940874
"Köln-Ehrenfeld",3,"08000208",6.917276,50.951533
"Köln-Mülheim",3,"08000209",7.013295,50.957986
"Köln/Bonn Flughafen",3,"08003330",7.119302,50.878901
"Königs Wusterhausen",3,"08010193",13.631472,52.296635
"Köthen",3,"08010195",11.989358,51.751929
"Landshut (Bay) Hbf",2,"08000217",12.13593,48.547492
"Landstuhl",3,"08003515",7.565931,49.416287
"Langenhagen-Mitte",3,"08003545",9.725427,52.440279
"Leer (Ostfriesl)",3,"08000225",7.465283,53.23165
"Lehrte",3,"08000226",9.974599,52.376722
"Leinefelde",3,"08010203",10.3287578,51.3888361
"Leipzig Hbf",1,"08010205,08089318,08098205",12.3820639,51.3454712
"Leipzig Messe",3,"08012478",12.389278,51.396145
"Leonberg",3,"08003652",9.003853,48.799646
"Lichtenfels",3,"08000228",11.059472,50.146452
"Limburg (Lahn)",3,"08000229",8.062342,50.384119
"Lindau-Insel",3,"08000230",9.680469,47.544341
"Lindau-Reutin",3,"08003693",9.703292,47.552384
"Ludwigsburg",3,"08000235",9.18542,48.891862
"Ludwigshafen (Rhein) Hbf",2,"08000236",8.433042,49.476529
"Ludwigshafen (Rhein) Mitte",3,"08003759",8.452152,49.479005
"Lutherstadt Wittenberg Hbf",3,"08010222",12.662285,51.867811
"Lübeck Hbf",2,"08000237",10.669821,53.867547
"Lüneburg",2,"08000238",10.41989,53.249656
"Magdeburg Hbf",2,"08010224",11.626963,52.1305112
"Mainz Hbf",2,"08000240",8.25872,50.001117
"Mainz Römisches Theater",3,"08003816",8.277565,49.993465
"Mainz-Gustavsburg",3,"08003818",8.314197,49.994319
"Mannheim Hbf",1,"08000244",8.468921,49.479354
"Marbach (Neckar)",3,"08003853",9.26462352,48.9437091
"Marburg (Lahn)",3,"08000337",8.775014,50.819272
"Marktredwitz",3,"08000247",12.082583,50.004596
"Memmingen",3,"08000249",10.186853,47.985581
"Mering",3,"08003982",10.988291,48.262698
"Merzig (Saar)",3,"08003992",6.634192,49.436419
"Minden (Westf)",3,"08000252",8.934728,52.290138
"Mosbach-Neckarelz",3,"08000264",9.113093,49.348484
"Mönchengladbach Hbf",2,"08000253",6.446111,51.196583
"Mühlacker",3,"08000339",8.846101,48.953192
"Mülheim (Ruhr) Hbf",3,"08000259",6.88651,51.431342
"Mülheim (Ruhr)-Styrum",3,"08000687",6.852636,51.449203
"München Donnersbergerbrücke",3,"08004128",11.536537,48.142623
"München Hbf",1,"08000261,08098261,08098262,08098263",11.558335,48.140232
"München Karlsplatz",3,"08004132",11.565619,48.139452
"München Marienplatz",3,"08004135",11.575386,48.137048
"München Ost",1,"08000262",11.604971,48.12744
"München Rosenheimer Platz",3,"08004136",11.593049,48.129168
"München-Giesing",3,"08004148",11.596346,48.110803
"München-Hackerbrücke",3,"08004129",11.548572,48.141969
"München-Hirschgarten",3,"08004179",11.519245,48.14354
"München-Laim Pbf",3,"08004151",11.503669,48.144371
"München-Pasing",2,"08004158",11.461872,48.149852
"Münster (Westf) Hbf",2,"08000263",7.635715,51.956566
"Nauen",3,"08010239",12.885559,52.612696
"Naumburg (Saale) Hbf",3,"08010240",11.796984,51.163071
"Neckargemünd",3,"08000265",8.788425,49.393678
"Neu-Edingen/Friedrichsfeld",3,"08000631",8.580125,49.44867
"Neudietendorf",3,"08010242",10.909685,50.913898
"Neumarkt (Oberpf)",3,"08004305",11.456987,49.273221
"Neumünster",2,"08000271",9.979816,54.075752
"Neunkirchen (Saar) Hbf",3,"08000272",7.176655,49.353291
"Neuss Hbf",2,"08000274",6.684527,51.204351
"Neustadt (Weinstr) Hbf",2,"08000275",8.140757,49.349553
"Neuwied",3,"08000276",7.473132,50.431466
"Niebüll",3,"08004343,08074343",8.834572,54.789605
"Nienburg (Weser)",3,"08000279",9.217753,52.645566
"Nordhausen",3,"08010256",10.789249,51.49292
"Northeim (Han)",3,"08000283",9.986618,51.703139
